City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,salacgriva,57.7536,24.3581,6.42,95,100,5.06,LV,1712079017
1,alva,56.1528,-3.8051,7.96,97,100,2.9,GB,1712079018
2,biryusinsk,55.9634,97.8235,-1.87,90,98,1.47,RU,1712079019
3,hermanus,-34.4187,19.2345,16.0,77,46,3.05,ZA,1712079020
4,klyuchi,52.2667,79.1667,1.45,96,100,2.81,RU,1712079021
5,port-aux-francais,-49.35,70.2167,6.76,79,85,13.02,TF,1712079022
6,noshiro,40.2039,140.0242,4.84,77,71,0.26,JP,1712079026
7,luderitz,-26.6481,15.1594,18.73,70,1,2.49,NA,1712079027
8,chonchi,-42.6128,-73.8092,10.56,87,100,7.25,CL,1712079028
9,ribeira grande,38.5167,-28.7,18.22,82,40,11.83,PT,1712079030
10,jamestown,42.097,-79.2353,10.25,100,100,4.63,US,1712079032
11,ushuaia,-54.8,-68.3,8.81,46,75,6.69,AR,1712078992
12,praya,14.9215,-23.5087,28.3,47,20,8.23,CV,1712079033
13,la junta,37.985,-103.5438,12.32,30,0,11.83,US,1712079034
14,daru,-9.0763,143.2092,25.6,89,65,0.47,PG,1712079036
15,edinburgh of the seven seas,-37.0676,-12.3116,16.33,83,100,8.46,SH,1712079040
16,naze,28.3667,129.4833,21.51,92,91,5.71,JP,1712078964
17,hawaiian paradise park,19.5933,-154.9731,22.24,92,100,0.89,US,1712079042
18,antsiranana,-12.2787,49.2917,26.27,89,100,4.22,MG,1712079044
19,grytviken,-54.2811,-36.5092,3.23,68,96,3.11,GS,1712079045
20,lebu,-37.6167,-73.65,14.35,83,100,4.28,CL,1712079045
21,punta arenas,-53.15,-70.9167,9.01,57,40,8.23,CL,1712078971
22,margaret river,-33.95,115.0667,11.47,78,0,6.1,AU,1712079048
23,cidreira,-30.1811,-50.2056,21.44,84,97,5.19,BR,1712079049
24,anadyr,64.75,177.4833,-15.72,84,75,2.0,RU,1712079051
25,wailua homesteads,22.0669,-159.378,22.08,78,40,8.23,US,1712079052
26,invercargill,-46.4,168.35,8.34,97,100,0.45,NZ,1712078759
27,llanes,43.4198,-4.7549,13.85,74,100,3.9,ES,1712079054
28,bodaybo,57.8506,114.1933,-12.49,98,67,0.91,RU,1712079012
29,bengkulu,-3.8004,102.2655,25.59,93,100,1.94,ID,1712079058
30,ilulissat,69.2167,-51.1,-1.99,69,40,2.06,GL,1712079059
31,egilsstadir,65.2653,-14.3948,-1.05,59,75,5.14,IS,1712079061
32,bredasdorp,-34.5322,20.0403,17.6,75,23,2.2,ZA,1712079063
33,adamstown,-25.066,-130.1015,23.92,75,77,11.39,PN,1712079064
34,cardigan,52.0847,-4.6591,9.38,90,100,7.58,GB,1712079066
35,bitkine,11.9801,18.2138,33.94,9,10,3.6,TD,1712079067
36,tromso,69.6496,18.957,-3.99,54,20,5.14,NO,1712079069
37,belmonte,-15.8631,-38.8828,28.66,76,86,2.59,BR,1712079070
38,kingscliff,-28.2667,153.5667,21.89,90,75,2.06,AU,1712079071
39,college,64.8569,-147.8028,-12.18,70,100,6.17,US,1712079072
40,albany,42.6001,-73.9662,7.83,71,100,0.89,US,1712079071
41,gorom-gorom,14.4439,-0.2361,39.3,9,99,3.02,BF,1712079077
42,east london,-33.0153,27.9116,17.52,77,0,2.57,ZA,1712079079
43,tiksi,71.6872,128.8694,-27.17,99,13,4.11,RU,1712079080
44,utrik,11.2278,169.8474,26.73,75,100,8.05,MH,1712079082
45,waitangi,-43.9535,-176.5597,12.12,95,100,0.45,NZ,1712079084
46,johvi,59.3592,27.4211,3.63,96,100,8.3,EE,1712079084
47,siilinjarvi,63.0833,27.6667,-1.51,69,100,6.17,FI,1712079085
48,port-gentil,-0.7193,8.7815,29.98,79,40,4.12,GA,1712079087
49,ifanadiana,-21.3,47.6333,20.13,100,100,0.91,MG,1712079088
50,thompson,55.7435,-97.8558,-1.91,80,100,1.03,CA,1712079089
51,anandpur,31.25,76.5,21.95,33,10,1.47,IN,1712079090
52,west island,-12.1568,96.8225,27.99,74,40,4.63,CC,1712079092
53,alesund,62.4723,6.1549,4.51,55,75,14.4,NO,1712079091
54,laguna,38.421,-121.4238,19.8,61,0,3.6,US,1712078861
55,uchiza,-8.4592,-76.4633,31.43,51,52,1.16,PE,1712079095
56,talbahat,25.05,78.4333,28.8,17,100,1.45,IN,1712079097
57,lompoc,34.6391,-120.4579,20.99,65,0,1.54,US,1712079044
58,port elizabeth,-33.918,25.5701,18.94,80,0,8.23,ZA,1712079098
59,tarawa,1.419,172.984,27.05,94,75,2.06,KI,1712079099
60,isangel,-19.55,169.2667,25.37,85,76,4.24,VU,1712079100
61,port mathurin,-19.6833,63.4167,26.66,82,85,7.72,MU,1712079101
62,armacao de buzios,-22.7469,-41.8817,30.03,77,51,2.93,BR,1712079103
63,mount gambier,-37.8333,140.7667,12.96,86,96,1.63,AU,1712078846
64,port saint john's,-31.6229,29.5448,22.23,75,91,3.4,ZA,1712079105
65,calama,-22.4667,-68.9333,25.27,16,0,7.2,CL,1712079010
66,iskitim,54.6366,83.3045,0.89,98,100,1.74,RU,1712079107
67,bilibino,68.0546,166.4372,-28.08,89,9,2.01,RU,1712079108
68,san patricio,28.017,-97.5169,28.97,22,11,6.87,US,1712079109
69,puerto ayora,-0.7393,-90.3518,28.98,89,96,3.13,EC,1712079110
70,udachny,66.4167,112.4,-9.04,87,91,6.97,RU,1712079110
71,fale old settlement,-9.3852,-171.2468,29.32,70,32,2.4,TK,1712079111
72,martapura,-3.4167,114.85,28.05,94,75,0.51,ID,1712079112
73,beira,-19.8436,34.8389,27.05,94,20,3.6,MZ,1712079113
74,big stone gap,36.8677,-82.7745,23.97,67,94,6.19,US,1712079114
75,howard springs,-12.497,131.047,26.95,97,96,2.73,AU,1712079114
76,laojunmiao,39.8333,97.7333,5.63,46,94,5.16,CN,1712079115
77,yellowknife,62.456,-114.3525,-7.62,73,75,1.54,CA,1712078986
78,stanley,54.868,-1.6985,10.71,89,75,2.06,GB,1712079024
79,rongelap,11.1635,166.8941,26.63,81,97,7.74,MH,1712079119
80,isafjordur,66.0755,-23.124,1.02,51,20,0.0,IS,1712079120
81,sao martinho,39.5144,-9.1311,17.32,86,82,2.24,PT,1712079121
82,sivrihisar,39.4504,31.5341,18.53,29,97,2.93,TR,1712079123
83,port alfred,-33.5906,26.891,18.43,80,2,4.02,ZA,1712079125
84,hithadhoo,-0.6,73.0833,28.52,76,96,2.53,MV,1712079128
85,safaga,26.7292,33.9365,26.14,49,0,2.71,EG,1712079129
86,talnakh,69.4865,88.3972,-15.09,90,100,3.05,RU,1712079130
87,bou arada,36.3525,9.6218,15.09,50,12,3.0,TN,1712079131
88,sacele,45.6174,25.6943,12.79,58,44,5.36,RO,1712079132
89,ploneour-lanvern,47.9,-4.2833,11.16,94,100,12.26,FR,1712079134
90,ulaangom,49.9811,92.0667,-6.16,91,92,1.31,MN,1712079135
91,crane,31.3974,-102.3501,16.71,29,21,6.25,US,1712079137
92,linguaglossa,37.8432,15.1388,14.42,61,66,3.11,IT,1712079139
93,qashyr,53.0675,76.1036,1.24,90,100,3.32,KZ,1712079140
94,carauari,-4.8828,-66.8958,32.78,54,94,1.8,BR,1712078856
95,labrador city,52.9463,-66.9114,1.95,87,100,2.06,CA,1712079009
96,nuuk,64.1835,-51.7216,-0.66,80,0,6.17,GL,1712079060
97,kafue,-15.7691,28.1814,22.24,58,79,2.12,ZM,1712079146
98,longyearbyen,78.2186,15.6401,-17.09,66,20,4.63,SJ,1712079028
99,aykhal,66.0,111.5,-9.58,90,98,8.95,RU,1712079148
100,iqaluit,63.7506,-68.5145,-0.15,93,100,4.12,CA,1712079150
101,kodiak,57.79,-152.4072,-5.27,54,0,11.32,US,1712079152
102,praia da vitoria,38.7333,-27.0667,20.14,68,40,15.21,PT,1712079154
103,taltal,-25.4,-70.4833,20.99,71,30,2.62,CL,1712079021
104,qaqortoq,60.7167,-46.0333,-0.27,58,2,1.41,GL,1712079156
105,port blair,11.6667,92.75,26.02,89,6,1.03,IN,1712079157
106,donggang,28.9365,114.2259,19.44,98,100,1.48,CN,1712079158
107,yuzhno-kurilsk,44.0306,145.8556,-2.01,88,7,2.45,RU,1712079159
108,toropets,56.4978,31.6353,15.58,79,100,4.33,RU,1712079161
109,punta del este,-34.9667,-54.95,21.06,62,40,4.63,UY,1712078993
110,south valley,35.0101,-106.6781,12.95,55,20,0.0,US,1712079095
111,geraldton,-28.7667,114.6,19.23,68,84,4.12,AU,1712079028
112,akureyri,65.6835,-18.0878,-3.04,68,40,2.06,IS,1712079164
113,vadso,70.0744,29.7487,-7.91,62,40,6.69,NO,1712079165
114,monrovia,6.3005,-10.7969,31.87,76,58,6.12,LR,1712078478
115,klaksvik,62.2266,-6.589,3.51,57,100,12.7,FO,1712079167
116,bethel,41.3712,-73.414,9.12,79,100,4.12,US,1712079149
117,llandudno,53.325,-3.8315,11.99,87,99,3.6,GB,1712079169
118,carbonear,47.7332,-53.2148,3.46,84,81,9.54,CA,1712079170
119,hamilton,39.1834,-84.5333,18.05,90,75,6.69,US,1712079171
120,san jose del cabo,23.0589,-109.6977,25.33,49,0,1.79,MX,1712079172
121,benito juarez,19.385,-99.165,27.69,13,75,2.57,MX,1712079173
122,freetown,8.484,-13.2299,27.48,70,62,4.57,SL,1712079174
123,kaoma,-14.7833,24.8,24.27,54,99,0.43,ZM,1712079176
124,esquel,-42.9,-71.3167,7.81,90,96,6.12,AR,1712079091
125,prineville,44.2999,-120.8345,19.47,51,0,2.06,US,1712079179
126,pico truncado,-46.7949,-67.9573,7.12,80,100,2.08,AR,1712079182
127,northam,51.0333,-4.2167,14.25,94,100,5.32,GB,1712079183
128,waingapu,-9.6567,120.2641,26.2,84,92,1.91,ID,1712079184
129,ebon,4.582,168.6964,28.06,80,90,7.09,MH,1712079185
130,pervomayskoye,43.919,46.7102,11.19,65,4,6.5,RU,1712079185
131,walvis bay,-22.9575,14.5053,16.53,82,0,3.09,NA,1712079187
132,puerto natales,-51.7236,-72.4875,9.25,43,75,9.26,CL,1712079054
133,zhezqazghan,47.7833,67.7667,7.9,68,26,2.91,KZ,1712079189
134,saipan,15.1355,145.701,27.39,78,40,6.17,MP,1712079190
135,chake chake,-5.2459,39.7666,25.63,89,100,4.05,TZ,1712079190
136,guerrero negro,27.9769,-114.0611,18.61,56,0,4.89,MX,1712079191
